product_number;product_name;discount_price;price
75571;tbd-PT-IP-1-2021;;
76185;Spider-Man at the Sanctum Workshop;139.16;284
76190;Iron Man: Iron Monger Mayhem;138.67;283
76206;Iron Man Figure;141.61;289
76237;Sanctuary II: Endgame Battle;;
76239;Batmobile™ Tumbler: Scarecrow™ Showdown;;
76387;Hogwarts™: Fluffy Encounter;147.49;301
76394;Fawkes, Dumbledore’s Phoenix;147.33;300.68
76903;Chevrolet Corvette C8.R Race Car and 1969 Chevrolet Corvette;138.18;282
76909;Mercedes-AMG F1 W12 E Performance & Mercedes-AMG Project One;;
76910;Aston Martin Valkyrie AMR Pro and Aston Martin Vantage GT3;141.61;289
80030;Monkie Kid’s Staff Creations;;
80031;Mei’s Dragon Car;;
71412;tbd-LEAF-17-2022;;
10281;Bonsai Tree;187.18;382
10309;Succulents;189.63;387
10311;Orchid;189.63;387
10698;LEGO® Large Creative Brick Box;168.07;343
10780;Mickey and Friends Castle Defenders;182.77;373
10784;Spider-Man Webquarters Hangout;171.01;349
10914;Deluxe Brick Box;161.21;329
10959;Police Station & Helicopter;177.87;363
10973;Wild Animals of South America;160.72;328
11014;Bricks and Wheels;189.14;386
11015;Around the World;191.59;391
11021;90 Years of Play;176.89;361
21028;New York City;180.81;369
21044;Paris;197.47;403
21186;The Ice Castle;194.04;396
21190;The Abandoned Village;190.12;388
31118;Surfer Beach House;188.16;384
41717;Mia's Wildlife Rescue;171.01;349
41962;Unicorn Creative Family Pack;195.02;398
42122;Jeep® Wrangler;189.14;386
42123;McLaren Senna GTR™;190.12;388
42137;Formula E® Porsche 99X Electric;185.22;378
42138;Ford Mustang Shelby® GT500®;182.77;373
43202;The Madrigal House;199.92;408
60301;Wildlife Rescue Off-Roader;164.15;335
60346;Barn & Farm Animals;175.91;359
71776;Jay and Nya's Race Car EVO;;
75322;Hoth™ AT-ST™;194.04;396
75334;Obi-Wan Kenobi™ vs. Darth Vader™;194.04;396
76211;tbd-LSH-Batch-C1-2022;;
76217;I am Groot;181.79;371
76398;Hogwarts™ Hospital Wing;177.87;363
76401;Hogwarts™ Courtyard: Sirius’s Rescue;176.89;361
76406;Hungarian Horntail Dragon;177.38;362
76832;XL-15 Spaceship;182.28;372
76944;T. rex Dinosaur Breakout;187.18;382
76947;Quetzalcoatlus Plane Ambush;;
76950;Triceratops Pickup Truck Ambush;177.38;362
76951;Pyroraptor & Dilophosaurus Transport;;
60320;Fire Station;195.51;399
10776;Mickey & Friends Fire Truck & Station;204.82;418
10942;Minnie’s House and Café;199.43;407
10947;Race Cars;185.71;379
11016;Creative Building Bricks;190.12;388
31117;Space Shuttle Adventure;210.4;258.95
41681;Forest Camper Van and Sailboat;186.2;380
41688;Magical Caravan;188.16;384
41701;Street Food Market;183.75;375
43195;Belle and Rapunzel's Royal Stables;200.9;410
60277;Police Patrol Boat;189.14;386
60291;Family House;189.14;386
60338;Smashing Chimpanzee Stunt Loop;198.45;405
71737;X-1 Ninja Charger;190.12;388
71747;The Keepers' Village;189.14;386
71753;Fire Dragon Attack;;
75305;Scout Trooper™ Helmet;;
75572;tbd-PT-IP-2-2021;;
76905;Ford GT Heritage Edition and Bronco R;199.92;408
10899;Frozen Ice Castle;204.82;418
75312;Boba Fett’s Starship™;203.35;415
80032;Chang’e Moon Cake Factory;;
10280;Flower Bouquet;190.12;388
10963;Spider-Man & Friends: Funfair Adventure;;
10979;Wild Animals of Europe;194.04;396
21057;Singapore;223.44;456
41708;Roller Disco Arcade;217.56;444
41720;Water Park;217.56;444
60349;Lunar Space Station;213.64;436
71360;Adventures with Mario Starter Course;439.5;879
71387;Adventures with Luigi Starter Course;218.05;445
76208;The Goat Boat;182.28;372
10874;Steam Train;240.59;491
21183;The Training Grounds;230.79;471
41718;Pet Day-Care Center;219.52;448
41961;Designer Toolkit - Patterns;;
43203;Aurora, Merida and Tiana’s Enchanted Creations;;
60316;Police Station;217.07;443
71738;Zane's Titan Mech Battle;231.28;472
71766;Lloyd’s Legendary Dragon;217.07;443
71772;The Crystal King;209.72;428
75325;The Mandalorian’s N-1 Starfighter™;229.81;469
76399;Hogwarts™ Magical Trunk;210.21;429
10929;Modular Playhouse;1370.25;1827
10934;Creative animals;212.66;434
11011;Bricks and Animals;212.66;434
21051;Tokyo;196.98;402
21169;The First Adventure;;
21173;The Sky Tower;243.04;496
41689;Magical Ferris Wheel and Slide;225.89;461
60282;Fire Command Unit;207.76;424
60294;Stunt Show Truck;242.06;494
60329;School Day;217.07;443
60347;Grocery Store;216.09;441
71400;Big Urchin Beach Ride Expansion Set;217.07;443
71403;tbd-LEAF-8-2022;;
75316;Mandalorian Starfighter™;243.53;497
76182;Batman™ Cowl;139.31;208.95
76199;Carnage;74.12;105
