product_number;product_name;discount_price;price
41708;Roller Disco Arcade;199.9;239.0
41720;Water Park;187.55;239.0
60349;Lunar Space Station;198.0;239.0
71360;Adventures with Mario Starter Course;199.0;225.0
71387;Adventures with Luigi Starter Course;222.5;0
76208;The Goat Boat;177.28;239.0
10874;Steam Train;237.15;299.0
21183;The Training Grounds;249.0;0
41718;Pet Day-Care Center;244.0;0
41961;Designer Toolkit - Patterns;229.6;249.0
43203;Aurora, Merida and Tiana’s Enchanted Creations;259.0;0
60316;Police Station;211.75;0
71738;Zane's Titan Mech Battle;205.95;0
71766;Lloyd’s Legendary Dragon;212.07;0
71772;The Crystal King;218.75;249.0
75325;The Mandalorian’s N-1 Starfighter™;259.0;0
76399;Hogwarts™ Magical Trunk;205.21;249.0
10929;Modular Playhouse;271.0;0
10934;Creative animals;204.2;299.0
21051;Tokyo;194.86;299.0
21169;The First Adventure;281.8;0
21173;The Sky Tower;259.0;0
41689;Magical Ferris Wheel and Slide;254.0;0
60282;Fire Command Unit;187.8;319.0
60294;Stunt Show Truck;216.08;299.0
60329;School Day;214.09;298.0
60347;Grocery Store;199.9;259.0
71400;Big Urchin Beach Ride Expansion Set;193.15;0
71403;tbd-LEAF-8-2022;183.74;259.0
75316;Mandalorian Starfighter™;274.25;0
76182;Batman™ Cowl;230.1;0
76199;Carnage;254.85;0
76238;Classic TV Series Batman™ Cowl;244.0;299.0
76904;Mopar Dodge//SRT Top Fuel Dragster and 1970 Dodge Challenger T/A;195.48;0
31207;Floral Art;279.0;0
41711;Emma's Art School;351.23;0
41713;Olivia's Space Academy;225.45;279.0
42107;Ducati Panigale V4 R;225.35;279.0
75327;Luke Skywalker™ (Red Five) Helmet;232.17;279.0
75328;The Mandalorian™ Helmet;231.8;279.0
75329;Death Star™ Trench Run Diorama;232.17;279.0
75343;Dark Trooper™ Helmet;243.85;279.0
76223;Nano Gauntlet;242.24;279.0
80037;Dragon of the East;259.0;0
10952;Barn, Tractor & Farm Animal Care;203.0;247.56
11717;Bricks Bricks Plates;401.98;0
41395;Friendship Bus;329.0;349.0
41449;Andrea's Family House;229.0;414.0
41682;Heartlake City School;330.28;0
41683;Forest Horseback Riding Center;299.0;0
41693;Surfer Beachfront;367.78;0
41709;Vacation Beach House;195.66;299.0
71407;tbd-LEAF-12-2022;299.0;0
71409;tbd-LEAF-14-2022;259.0;0
71748;Catamaran Sea Battle;261.0;299.0
75306;Imperial Probe Droid™;234.8;0
76155;In Arishem’s Shadow;199.75;227.46
76183;Batcave™: The Riddler™ Face-off;299.0;0
76187;Venom;220.95;238.0
76392;Hogwarts™ Wizard’s Chess;599.56;0
80033;Evil Macaque’s Mech;575.0;0
80108;Lunar New Year Traditions;149.0;0
10411;Learn about Chinese Culture;0;0
11022;Space Mission;269.48;0
21331;Sonic the Hedgehog™ – Green Hill Zone;349.0;0
41702;Canal Houseboat;235.39;329.0
41703;Friendship Tree House;255.74;349.0
