product_number;product_name;discount_price;price
10979;Wild Animals of Europe;0;339
10963;Spider-Man & Friends: Funfair Adventure;0;289
10280;Flower Bouquet;0;299
75312;Boba Fett’s Starship™;0;319
10899;Frozen Ice Castle;0;319
76905;Ford GT Heritage Edition and Bronco R;247;329
75572;tbd-PT-IP-2-2021;0;319
75305;Scout Trooper™ Helmet;0;289
71753;Fire Dragon Attack;0;299
71747;The Keepers' Village;224;299
71737;X-1 Ninja Charger;0;319
60338;Smashing Chimpanzee Stunt Loop;0;299
60291;Family House;0;299
60277;Police Patrol Boat;224;299
43195;Belle and Rapunzel's Royal Stables;219;319
41701;Street Food Market;217;289
41688;Magical Caravan;195;299
41681;Forest Camper Van and Sailboat;224;299
31117;Space Shuttle Adventure;0;309
11016;Creative Building Bricks;224;299
10947;Race Cars;0;299
10942;Minnie’s House and Café;0;319
10776;Mickey & Friends Fire Truck & Station;0;329
60320;Fire Station;0;339
76951;Pyroraptor & Dilophosaurus Transport;217;289
76950;Triceratops Pickup Truck Ambush;217;289
76947;Quetzalcoatlus Plane Ambush;0;319
76944;T. rex Dinosaur Breakout;0;319
76832;XL-15 Spaceship;0;319
76406;Hungarian Horntail Dragon;0;299
76401;Hogwarts™ Courtyard: Sirius’s Rescue;0;289
76398;Hogwarts™ Hospital Wing;224;299
76217;I am Groot;0;299
76211;tbd-LSH-Batch-C1-2022;0;299
75334;Obi-Wan Kenobi™ vs. Darth Vader™;0;319
75322;Hoth™ AT-ST™;239;319
71776;Jay and Nya's Race Car EVO;0;299
60346;Barn & Farm Animals;0;299
60301;Wildlife Rescue Off-Roader;202;269
43202;The Madrigal House;0;319
42138;Ford Mustang Shelby® GT500®;0;319
42137;Formula E® Porsche 99X Electric;0;319
42123;McLaren Senna GTR™;0;299
42122;Jeep® Wrangler;0;299
41962;Unicorn Creative Family Pack;0;319
41717;Mia's Wildlife Rescue;0;299
31118;Surfer Beach House;224;299
21190;The Abandoned Village;0;299
21186;The Ice Castle;0;319
21044;Paris;0;319
21028;New York City;0;319
11021;90 Years of Play;0;299
11015;Around the World;0;299
11014;Bricks and Wheels;0;299
10973;Wild Animals of South America;0;289
10959;Police Station & Helicopter;0;289
10914;Deluxe Brick Box;0;289
10784;Spider-Man Webquarters Hangout;0;299
10780;Mickey and Friends Castle Defenders;0;299
10698;LEGO® Large Creative Brick Box;202;269
10311;Orchid;0;309
10309;Succulents;0;309
10281;Bonsai Tree;0;299
71412;tbd-LEAF-17-2022;172;229
76910;Aston Martin Valkyrie AMR Pro and Aston Martin Vantage GT3;0;219
76909;Mercedes-AMG F1 W12 E Performance & Mercedes-AMG Project One;0;219
76903;Chevrolet Corvette C8.R Race Car and 1969 Chevrolet Corvette;0;229
76394;Fawkes, Dumbledore’s Phoenix;0;239
76387;Hogwarts™: Fluffy Encounter;0;239
76239;Batmobile™ Tumbler: Scarecrow™ Showdown;0;239
76237;Sanctuary II: Endgame Battle;0;229
76206;Iron Man Figure;0;229
76190;Iron Man: Iron Monger Mayhem;0;229
76185;Spider-Man at the Sanctum Workshop;0;229
75571;tbd-PT-IP-1-2021;0;239
75342;Republic Fighter Tank™;0;249
75311;Imperial Armored Marauder;149;229
71769;Cole’s Dragon Cruiser;0;229
71764;Ninja Training Center;0;229
71759;Ninja Dragon Temple;0;229
71752;Ninja Sub Speeder;164;219
71749;Final Flight of Destiny's Bounty;0;219
71746;Jungle Dragon;0;219
71736;Boulder Blaster;0;219
71399;Luigi’s Mansion™ Entryway Expansion Set;159;229
71389;Lakitu Sky World Expansion Set;125;229
60313;Space Ride Amusement Truck;0;229
60308;Seaside Police and Fire Mission;0;219
43208;Jasmine and Mulan’s Adventure;0;239
43194;Anna and Elsa's Frozen Wonderland;0;239
43192;Cinderella’s Royal Carriage;0;229
41964;Mickey Mouse & Minnie Mouse Back-to-School Project Box;0;249
41952;Big Message Board;187;249
41938;Creative Designer Box;157;209
41716;Stephanie's Sailing Adventure;0;229
41700;Beach Glamping;164;219
41393;Baking Competition;155;259
31131;Downtown Noodle Shop;0;229
31129;Majestic Tiger;0;299
21176;The Jungle Abomination;0;239
10978;Creative Building Time;0;219
10977;My First Puppy & Kitten With Sounds;0;219
10966;Bath Time Fun: Floating Animal Island;0;219
75979;Hedwig™;0;269
71406;tbd-LEAF-11-2022;134;179
41168;Elsa's Jewelry Box Creation;194;259
21034;London;202;269
76404;tbd-HP-9-2022-Advent-Calendar;0;219
76231;tbd-LSH-Advent-Calendar-2022;149;199
76194;Tony Stark’s Sakaarian Iron Man;0;219
